index,region,kind,bucket,bit_position_tag,region_bits,n,n_samples,mean_dR@10,mean_dRecall@10,p99_dR@10,max_dR@10,mean_dRecall@1,mean_dRecall@100,mean_dTol,pct_benign,pct_catastrophic,pct_catastrophic_abs,ci95_low,ci95_high,n_silent_wrong,n_nan_inf,n_crash,n_clean,baseline_mode,seed
IVF_PQ_M16,centroid,centroid,recall_relevant,exponent,4194304,500,500,0.0001832799999999526,0.0001832799999999526,0.0008599999999998609,0.0015600000000000058,0.00019320000000000892,0.00018597599999999704,0.000186139999999966,47.6,0.0,0.0,0.00016446356132196246,0.0002020964386779427,386,0,0,114,own,1234
IVF_PQ_M16,centroid,centroid,recall_relevant,mantissa-high,4194304,500,500,3.339999999993015e-06,3.339999999993015e-06,3.999999999992898e-05,0.0013999999999999568,3.0000000000001136e-06,3.254000000000756e-06,3.1199999999942387e-06,99.8,0.0,0.0,-2.194946958628183e-06,8.874946958614213e-06,34,0,0,466,own,1234
IVF_PQ_M16,centroid,centroid,recall_relevant,mantissa-low,4194304,500,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0,500,own,1234
IVF_PQ_M16,centroid,centroid,recall_relevant,sign,4194304,500,500,6.147999999995423e-05,6.147999999995423e-05,0.0005901999999998695,0.0010399999999999299,6.860000000000332e-05,6.16099999999975e-05,6.389999999996365e-05,81.8,0.0,0.0,4.976026432238222e-05,7.319973567752625e-05,287,0,0,213,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b0,192000000,125,125,5.599999999974514e-07,5.599999999974514e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,3.7600000000637125e-07,5.599999999974514e-07,100.0,0.0,0.0,1.513265445351618e-07,9.68673455459741e-07,7,0,0,118,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b1,192000000,125,125,3.9999999999729144e-07,3.9999999999729144e-07,9.99999999995449e-06,1.999999999990898e-05,0.0,3.0400000000785355e-07,4.799999999978155e-07,100.0,0.0,0.0,-7.160972153418952e-08,8.716097215287724e-07,5,0,0,120,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b2,192000000,125,125,-8.000000000318863e-08,-8.000000000318863e-08,9.99999999995449e-06,9.99999999995449e-06,0.0,3.680000000070294e-07,-8.000000000318863e-08,100.0,0.0,0.0,-5.003800742813486e-07,3.403800742749713e-07,3,0,0,122,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b3,192000000,125,125,4.799999999978155e-07,4.799999999978155e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,1.6000000000371273e-07,5.599999999974514e-07,100.0,0.0,0.0,1.0004207072156469e-07,8.599579292740662e-07,6,0,0,119,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b4,192000000,125,125,1.5999999999838365e-07,1.5999999999838365e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,2.560000000046969e-07,1.5999999999838365e-07,100.0,0.0,0.0,-1.5668481865785211e-07,4.766848186546194e-07,3,0,0,122,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b5,192000000,125,125,4.799999999978155e-07,4.799999999978155e-07,9.99999999995449e-06,1.999999999990898e-05,7.999999999999119e-07,4.480000000084416e-07,5.599999999974514e-07,100.0,0.0,0.0,3.850588062743524e-08,9.214941193681956e-07,5,0,0,120,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b6,192000000,125,125,4.799999999978155e-07,4.799999999978155e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,3.6000000000591117e-07,4.799999999978155e-07,100.0,0.0,0.0,1.000420707215648e-07,8.599579292740662e-07,6,0,0,119,own,1234
IVF_PQ_M16,codes,codes,recall_relevant,code_b7,192000000,125,125,1.5999999999927185e-07,1.5999999999927185e-07,7.599999999965463e-06,9.99999999995449e-06,0.0,1.5200000000437086e-07,1.5999999999927185e-07,100.0,0.0,0.0,-6.302521146353907e-08,3.830252114620828e-07,2,0,0,123,own,1234
IVF_PQ_M16,pq_codebook,pq_codebook,recall_relevant,exponent,1048576,1000,1000,0.00054994999999995,0.00054994999999995,0.003380699999999938,0.004589999999999872,0.0006002000000000072,0.0005694399999999944,0.0005401399999999637,43.6,0.0,0.0,0.0005034188262140639,0.0005964811737858361,745,0,0,255,own,1234
IVF_PQ_M16,pq_codebook,pq_codebook,recall_relevant,mantissa-high,1048576,1000,1000,4.999999999033555e-08,4.999999999033555e-08,2.999999999997449e-05,0.00015999999999993797,5.00000000000056e-07,2.1899999999819287e-07,4.999999999211191e-08,99.7,0.0,0.0,-6.526873944506625e-07,7.526873944313336e-07,66,0,0,934,own,1234
IVF_PQ_M16,pq_codebook,pq_codebook,recall_relevant,mantissa-low,1048576,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0,1000,own,1234
IVF_PQ_M16,pq_codebook,pq_codebook,recall_relevant,sign,1048576,1000,1000,7.937999999994816e-05,7.937999999994816e-05,0.0007406999999999624,0.0012399999999999078,0.00010220000000000473,6.60719999999967e-05,8.615999999996294e-05,78.1,0.0,0.0,6.902577884153755e-05,8.973422115835878e-05,604,0,0,396,own,1234
IVF_PQ_M8,centroid,centroid,recall_relevant,exponent,4194304,500,500,0.00012496000000003537,0.00012496000000003537,0.0007007000000000335,0.0010000000000000564,0.00010740000000001681,0.00013937600000003513,0.00012982000000000916,53.8,0.0,0.0,0.00011051694347904363,0.0001394030565210271,356,0,0,144,own,1234
IVF_PQ_M8,centroid,centroid,recall_relevant,mantissa-high,4194304,500,500,1.6000000000437887e-07,1.6000000000437887e-07,2.0000000000020002e-05,5.0000000000050004e-05,-7.999999999992458e-07,2.400000000624125e-08,3.2000000000043104e-07,100.0,0.0,0.0,-3.733659254372935e-07,6.933659254460513e-07,24,0,0,476,own,1234
IVF_PQ_M8,centroid,centroid,recall_relevant,mantissa-low,4194304,500,500,-1.999999999990898e-08,-1.999999999990898e-08,0.0,0.0,0.0,0.0,-4.000000000004e-08,100.0,0.0,0.0,-5.929458781948393e-08,1.9294587819665964e-08,0,0,0,500,own,1234
IVF_PQ_M8,centroid,centroid,recall_relevant,sign,4194304,500,500,3.788000000003277e-05,3.788000000003277e-05,0.0004105000000000215,0.0009300000000000419,3.3400000000011864e-05,4.0800000000032366e-05,3.992000000000717e-05,86.2,0.0,0.0,2.9516238017627726e-05,4.6243761982437824e-05,263,0,0,237,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b0,128000000,125,125,8.000000000230045e-08,8.000000000230045e-08,1.0000000000065512e-05,1.0000000000065512e-05,8.000000000003559e-07,2.3200000000667132e-07,8.000000000008e-08,100.0,0.0,0.0,-2.7520469792668715e-07,4.352046979312881e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b1,128000000,125,125,1.6000000000193637e-07,1.6000000000193637e-07,1.0000000000065512e-05,1.0000000000065512e-05,0.0,3.3600000000655327e-07,1.6000000000016e-07,100.0,0.0,0.0,-1.5668481865601485e-07,4.766848186598876e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b2,128000000,125,125,8.000000000230045e-08,8.000000000230045e-08,1.0000000000065512e-05,1.0000000000065512e-05,1.6000000000007119e-06,3.440000000085597e-07,8.000000000008e-08,100.0,0.0,0.0,-2.7520469792668715e-07,4.352046979312881e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b3,128000000,125,125,8.000000000141227e-08,8.000000000141227e-08,7.60000000004984e-06,1.0000000000065512e-05,0.0,2.7200000000737745e-07,-8.000000000008e-08,100.0,0.0,0.0,-1.9499335993939676e-07,3.549933599422213e-07,2,0,0,123,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b4,128000000,125,125,4.800000000031446e-07,4.800000000031446e-07,1.0000000000065512e-05,2.0000000000020002e-05,8.000000000003559e-07,3.2000000000742547e-07,4.0000000000040005e-07,100.0,0.0,0.0,-1.5445341948039333e-08,9.754453419543284e-07,6,0,0,119,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b5,128000000,125,125,2.400000000015723e-07,2.400000000015723e-07,1.0000000000065512e-05,1.0000000000065512e-05,0.0,1.840000000070674e-07,2.4000000000024e-07,100.0,0.0,0.0,-3.203635615448587e-08,5.120363561576304e-07,3,0,0,122,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b6,128000000,125,125,4.800000000022563e-07,4.800000000022563e-07,1.0000000000065512e-05,2.0000000000020002e-05,0.0,3.6000000000679934e-07,5.6000000000056e-07,100.0,0.0,0.0,3.850588062821504e-08,9.214941193762977e-07,5,0,0,120,own,1234
IVF_PQ_M8,codes,codes,recall_relevant,code_b7,128000000,125,125,4.800000000031446e-07,4.800000000031446e-07,1.0000000000065512e-05,1.0000000000065512e-05,8.000000000003559e-07,3.280000000072114e-07,4.8000000000048e-07,100.0,0.0,0.0,1.0004207072267541e-07,8.599579292836137e-07,6,0,0,119,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,exponent,1048576,1000,1000,0.0003454400000000352,0.0003454400000000352,0.0023009000000000237,0.005330000000000057,0.00031800000000001575,0.0003965970000000339,0.0003516700000000085,47.3,0.0,0.0,0.0003121869001458031,0.0003786930998542673,707,0,0,293,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,mantissa-high,1048576,1000,1000,-9.99999999936052e-08,-9.99999999936052e-08,2.010000000002001e-05,0.0001200000000000645,1.0000000000071063e-07,3.4000000007305964e-08,-7.999999999930285e-08,99.9,0.0,0.0,-5.510946400267738e-07,3.5109464003956337e-07,58,0,0,942,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,mantissa-low,1048576,1000,1000,-9.99999999995449e-09,-9.99999999995449e-09,0.0,0.0,0.0,1.0000000000287558e-09,-2.000000000002e-08,100.0,0.0,0.0,-2.962341461119967e-08,9.623414611290689e-09,0,0,0,1000,own,1234
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,sign,1048576,1000,1000,4.015000000003432e-05,4.015000000003432e-05,0.000520000000000076,0.0011300000000000754,3.750000000001219e-05,3.546600000003613e-05,4.331000000000868e-05,86.1,0.0,0.0,3.313709316150143e-05,4.716290683856721e-05,511,0,0,489,own,1234
